Gene,EEG_count,EEG_present,Cardiology_count,Cardiology_present,Endocrinology_count,Endocrinology_present,Immunology_count,Immunology_present,Oncology_count,Oncology_present,Domains_present,NonEEG_domains_present,Entropy,H_norm,Domain_Degree,Betweenness
HLA-A,1,1,284,1,463,1,829,1,2508,1,5,4,1.057339186020335,0.656961773953258,5,0.0015368060170750017
HLA-B,1,1,367,1,245,1,492,1,703,1,5,4,1.3201405435596227,0.8202494382421086,5,0.008507365325404503
HLA-C,1,1,70,1,57,1,152,1,364,1,5,4,1.129123514611105,0.7015638850606098,5,0.0027205024191024937
CD28,1,1,492,1,308,1,1727,1,2216,1,5,4,1.1377621730285798,0.7069313853231144,5,0.005344503793121009
CD40,1,1,1273,1,471,1,2055,1,2719,1,5,4,1.2387898871059426,0.7697034334380798,5,0.006028565455531647
NFKB1,1,1,122,1,88,1,249,1,371,1,5,4,1.2486792008930354,0.7758480095728226,5,0.010827744035602502
DRD3,1,1,6,1,11,1,11,1,21,1,5,4,1.363238525240659,0.8470277198695466,5,0.007373255422761921
BIN1,1,1,33,1,15,1,12,1,87,1,5,4,1.1164123503447112,0.6936659946429736,5,0.003746613312747657
NPC2,1,1,16,1,357,1,12,1,47,1,5,4,0.6354284653439185,0.3948139039317782,5,2.1272885046285614e-05
ATP7B,1,1,17,1,873,1,20,1,187,1,5,4,0.6276606276019843,0.3899874749767238,5,5.6108974699186365e-05
HBB,1,1,61,1,80,1,22,1,118,1,5,4,1.2721582902617878,0.7904363880292756,5,0.008215307478950709
VWF,1,1,3206,1,581,1,861,1,727,1,5,4,1.1142311974227777,0.6923107681349595,5,0.0009175718154202684
APOB,1,1,3039,1,3505,1,414,1,437,1,5,4,1.0490592770298215,0.6518171772424779,5,0.0020253886515136867
PCSK9,1,1,2270,1,2487,1,226,1,183,1,5,4,0.9701524509986833,0.6027896096541139,5,0.0008152838117271569
LDLR,1,1,2492,1,2475,1,413,1,340,1,5,4,1.0835192168921977,0.6732283417217955,5,0.0015784183800951301
ANGPTL4,1,1,182,1,212,1,83,1,252,1,5,4,1.3287905508793,0.8256239899740205,5,0.012218967078135278
RB1,1,1,320,1,122,1,74,1,3884,1,5,4,0.47087736345645853,0.29257255580882124,5,9.360349456647262e-05
CCND1,1,1,214,1,73,1,50,1,3049,1,5,4,0.4164697742603345,0.25876721993610124,5,6.630452336438095e-05
SMAD3,1,1,773,1,403,1,458,1,1615,1,5,4,1.226565981185691,0.7621082936530574,5,0.006477637277607719
TGFB3,1,1,51,1,7,1,17,1,56,1,5,4,1.1878867722597661,0.7380755499062503,5,0.0075751205435976585
FOXO3,1,1,180,1,107,1,124,1,483,1,5,4,1.1908037447537896,0.7398879668199366,5,0.00497895885651992
ERBB2,1,1,195,1,85,1,85,1,7360,1,5,4,0.23948534909697222,0.14880061370915304,5,3.387370586866869e-05
FGFR2,1,1,65,1,67,1,35,1,1637,1,5,4,0.41116759078907916,0.25547278811596574,5,6.630452336438095e-05
ALK,1,1,266,1,125,1,171,1,8643,1,5,4,0.29505688733604446,0.18332915178430395,5,5.312972478196771e-05
ROS1,1,1,50,1,11,1,16,1,1865,1,5,4,0.20622165721940924,0.12813271989319636,5,2.7904636084308295e-05
CTNNB1,1,1,84,1,100,1,44,1,2526,1,5,4,0.3752979735799047,0.233185741854625,5,6.630452336438095e-05
BRCA2,0,0,71,1,404,1,22,1,8999,1,4,4,0.23592810577722434,0.14659037416386486,4,3.409856069534084e-05
MAPK3,0,0,73,1,59,1,59,1,245,1,4,4,1.164428437913462,0.7235000672703119,4,0.0035254800531666886
STAT1,0,0,547,1,333,1,1549,1,2516,1,4,4,1.1326305380204578,0.7037429212211591,4,0.007036487691862647
INSR,0,0,58,1,556,1,60,1,287,1,4,4,1.0201232790273191,0.6338382308171759,4,0.0034689653118680406
PPARG,0,0,218,1,612,1,202,1,445,1,4,4,1.2809956278052503,0.7959273345735242,4,0.01316590546370925
SLC2A4,0,0,12,1,121,1,24,1,28,1,4,4,1.0058447222207136,0.6249664646581381,4,0.00017749846642455783
FTO,0,0,237,1,506,1,99,1,622,1,4,4,1.2078051460503323,0.7504515313819456,4,0.009821976639689832
CTLA4,0,0,313,1,568,1,1986,1,5765,1,4,4,0.9069880108273718,0.5635433363537776,4,0.0009643481868738175
PDCD1,0,0,29,1,26,1,121,1,490,1,4,4,0.7987200208116725,0.4962726518624723,4,0.0005017787990130805
CD40LG,0,0,13,1,9,1,46,1,62,1,4,4,1.135848304649121,0.7057422320388077,4,0.0063347592350610545
NFKBIA,0,0,45,1,26,1,105,1,189,1,4,4,1.145469012096203,0.7117199136708575,4,0.0030358782615927666
ABCA7,0,0,10,1,15,1,10,1,13,1,4,4,1.370851083332765,0.8517576681535365,4,0.011610526311801858
CD33,0,0,113,1,51,1,117,1,2300,1,4,4,0.45747408054978356,0.2842446279011184,4,0.00010697657304630661
CFTR,0,0,91,1,309,1,323,1,366,1,4,4,1.291788153158295,0.8026331076074912,4,0.002849248922890404
HBA2,0,0,13,1,70,1,8,1,22,1,4,4,1.0514809612058915,0.6533218542215403,4,0.0009434348468051826
PROS1,0,0,95,1,4,1,27,1,50,1,4,4,1.0639372461702021,0.6610613792246962,4,0.004914750501517113
SERPINC1,0,0,105,1,5,1,12,1,23,1,4,4,0.848124962468044,0.5269696680534554,4,0.0005047390089314449
ITGA2B,0,0,26,1,3,1,11,1,25,1,4,4,1.1766166471677917,0.7310730274697498,4,0.005978029414479008
ITGB3,0,0,97,1,29,1,29,1,178,1,4,4,1.1192307932616246,0.695417191688314,4,0.005079396443286098
GP1BA,0,0,35,1,5,1,7,1,8,1,4,4,1.0484009108443644,0.6514081113317206,4,0.0008238196690865153
GP9,0,0,8,1,6,1,5,1,3,1,4,4,1.3306281089460499,0.826765728995174,4,0.002534084191813189
APOA1,0,0,964,1,776,1,214,1,242,1,4,4,1.1989482850428448,0.7449484542274548,4,0.00298878805711697
APOC3,0,0,249,1,320,1,41,1,51,1,4,4,1.089082051833259,0.6766847254058657,4,0.0032929180890595737
ANGPTL3,0,0,191,1,336,1,19,1,38,1,4,4,0.972801343820275,0.6044354593020731,4,0.000832394228440248
ANGPTL8,0,0,54,1,126,1,17,1,9,1,4,4,0.9943018637596651,0.6177944834516116,4,0.0004587821223913
KDR,0,0,484,1,152,1,91,1,1084,1,4,4,1.018096612269212,0.6325789919596534,4,0.0035018663182906653
FLT1,0,0,247,1,78,1,87,1,683,1,4,4,1.0197222422112615,0.6335890526333148,4,0.0026129899172155882
TEK,0,0,92,1,27,1,31,1,150,1,4,4,1.1603123349051794,0.7209425886770201,4,0.00659585012382081
CDKN2A,0,0,176,1,251,1,50,1,5283,1,4,4,0.36360792966870076,0.22592230918605813,4,6.630452336438095e-05
CDK4,0,0,228,1,108,1,76,1,7132,1,4,4,0.2659580676947963,0.16524903858674708,4,3.387370586866869e-05
CDK6,0,0,80,1,33,1,47,1,2032,1,4,4,0.33664252176017895,0.2091677592278435,4,6.630452336438095e-05
SMAD4,0,0,269,1,107,1,88,1,2682,1,4,4,0.5613452103473331,0.3487833895365118,4,0.0002596645730897039
TGFB2,0,0,103,1,18,1,31,1,145,1,4,4,1.1230797030417763,0.6978086537946904,4,0.0056272998431697325
FOXO1,0,0,440,1,1102,1,397,1,1436,1,4,4,1.246416325265554,0.7744420058929049,4,0.009926693561174794
FOXO4,0,0,37,1,26,1,15,1,135,1,4,4,1.0366568564936132,0.6441111200902321,4,0.002682803767143485
PRKAA1,0,0,19,1,35,1,13,1,73,1,4,4,1.1778609682687016,0.7318461676395548,4,0.008416066594544172
PRKAA2,0,0,22,1,28,1,6,1,39,1,4,4,1.2387808781942966,0.7696978358865518,4,0.007080265724471595
HIF1A,0,0,280,1,108,1,192,1,980,1,4,4,1.0430488610873616,0.6480826958461935,4,0.002116813498467329
EPAS1,0,0,45,1,10,1,12,1,217,1,4,4,0.7490366730679787,0.4654026522434419,4,0.0009343810400221468
VHL,0,0,1529,1,79,1,60,1,3676,1,4,4,0.728105196649611,0.4523971947127994,4,0.001794967667624291
MDM2,0,0,231,1,128,1,76,1,6123,1,4,4,0.3104331617047227,0.19288296821293727,4,5.312972478196771e-05
MDM4,0,0,22,1,8,1,8,1,354,1,4,4,0.4125753451688185,0.2563474750913771,4,6.630452336438095e-05
CHEK1,0,0,11,1,5,1,5,1,312,1,4,4,0.2997694517731959,0.1862572327004694,4,5.312972478196771e-05
CHEK2,0,0,13,1,64,1,2,1,1343,1,4,4,0.24570347795845,0.15266415439838255,4,3.409856069534084e-05
RAD51,0,0,40,1,163,1,15,1,1895,1,4,4,0.4055217712294675,0.2519648431893591,4,0.00013517505561535625
RAD52,0,0,3,1,11,1,1,1,174,1,4,4,0.3351422164836083,0.20823556714700603,4,4.006763047970123e-05
MLH1,0,0,19,1,1454,1,22,1,3991,1,4,4,0.6251488713303258,0.3884268330580432,4,0.0006664014617625992
MSH2,0,0,24,1,1346,1,23,1,3280,1,4,4,0.660183823212011,0.4101952725927492,4,0.0014961500365486043
MSH6,0,0,6,1,902,1,8,1,2351,1,4,4,0.6184068127715431,0.38423775654462483,4,0.0014961500365486043
PMS2,0,0,7,1,691,1,12,1,1863,1,4,4,0.6279621424390103,0.3901748166782561,4,0.0006664014617625992
ERBB3,0,0,49,1,72,1,61,1,1301,1,4,4,0.5056602575513844,0.31418438303508595,4,0.00017649135217268457
PDGFRA,0,0,92,1,31,1,37,1,2042,1,4,4,0.33129802818187554,0.20584703866011408,4,6.630452336438095e-05
PDGFRB,0,0,78,1,98,1,19,1,565,1,4,4,0.8104224068376851,0.5035437531181362,4,0.0008806834373080349
FGFR4,0,0,49,1,44,1,16,1,606,1,4,4,0.5804864173562102,0.3606764901407644,4,0.0002851756461590142
NTRK1,0,0,6,1,14,1,12,1,655,1,4,4,0.2369160701389782,0.14720423093592241,4,5.312972478196771e-05
NTRK3,0,0,12,1,1,1,8,1,705,1,4,4,0.15506535488478498,0.09634752212980087,4,2.7904636084308295e-05
OCT4,0,0,130,1,123,1,54,1,2599,1,4,4,0.44675799869686245,0.2775863518842982,4,6.630452336438095e-05
NANOG,0,0,73,1,76,1,35,1,2183,1,4,4,0.3546449810493795,0.220353316092211,4,6.630452336438095e-05
KLF4,0,0,354,1,150,1,158,1,1221,1,4,4,1.0045711194809668,0.6241751307831825,4,0.002354736787446919
BMI1,0,0,47,1,31,1,21,1,1435,1,4,4,0.3067905035857865,0.19061965746898504,4,5.312972478196771e-05
NOTCH2,0,0,152,1,88,1,54,1,702,1,4,4,0.9058538168343067,0.5628386220033186,4,0.00108671454529388
DLL4,0,0,105,1,30,1,45,1,326,1,4,4,0.9922874270273081,0.6165428435363381,4,0.0021124394236964744
JAG1,0,0,294,1,36,1,36,1,326,1,4,4,1.0258368783131508,0.6373882896555381,4,0.006313357040113205
