Gene,Domain,Query,Count
AKT1,Endocrinology,"((""AKT1""[Title/Abstract]) AND (""Endocrinology""[MeSH Terms] OR ""Diabetes Mellitus""[MeSH Terms] OR ""Metabolic Diseases""[MeSH Terms])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",491
AKT1,Immunology,"((""AKT1""[Title/Abstract]) AND (""Immunology""[MeSH Terms] OR ""Autoimmune Diseases""[MeSH Terms] OR ""Inflammation""[MeSH Terms])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",305
AKT1,Oncology,"((""AKT1""[Title/Abstract]) AND (""Medical Oncology""[MeSH Terms] OR ""Neoplasms""[MeSH Terms])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",2891
PIK3CA,EEG,"((""PIK3CA""[Title/Abstract]) AND (""Electroencephalography""[MeSH Terms] OR ""Electroencephalography""[Majr] OR ""EEG""[Title/Abstract])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",4
PIK3CA,Cardiology,"((""PIK3CA""[Title/Abstract]) AND (""Cardiology""[MeSH Terms] OR ""Cardiovascular Diseases""[MeSH Terms])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",268
PIK3CA,Endocrinology,"((""PIK3CA""[Title/Abstract]) AND (""Endocrinology""[MeSH Terms] OR ""Diabetes Mellitus""[MeSH Terms] OR ""Metabolic Diseases""[MeSH Terms])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",132
PIK3CA,Immunology,"((""PIK3CA""[Title/Abstract]) AND (""Immunology""[MeSH Terms] OR ""Autoimmune Diseases""[MeSH Terms] OR ""Inflammation""[MeSH Terms])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",63
PIK3CA,Oncology,"((""PIK3CA""[Title/Abstract]) AND (""Medical Oncology""[MeSH Terms] OR ""Neoplasms""[MeSH Terms])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",6222
KRAS,EEG,"((""KRAS""[Title/Abstract]) AND (""Electroencephalography""[MeSH Terms] OR ""Electroencephalography""[Majr] OR ""EEG""[Title/Abstract])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",3
KRAS,Cardiology,"((""KRAS""[Title/Abstract]) AND (""Cardiology""[MeSH Terms] OR ""Cardiovascular Diseases""[MeSH Terms])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",438
KRAS,Endocrinology,"((""KRAS""[Title/Abstract]) AND (""Endocrinology""[MeSH Terms] OR ""Diabetes Mellitus""[MeSH Terms] OR ""Metabolic Diseases""[MeSH Terms])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",214
KRAS,Immunology,"((""KRAS""[Title/Abstract]) AND (""Immunology""[MeSH Terms] OR ""Autoimmune Diseases""[MeSH Terms] OR ""Inflammation""[MeSH Terms])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",219
KRAS,Oncology,"((""KRAS""[Title/Abstract]) AND (""Medical Oncology""[MeSH Terms] OR ""Neoplasms""[MeSH Terms])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",21520
